repeat,agg,amplitude_mult,target,angle_vs_full_clean_deg,angle_vs_loo_clean_deg
7817,sum,0.0,no_attack_baseline,0.0,1.2521648078286842
7817,median,0.0,no_attack_baseline,0.0,10.716010953477502
7817,trimmed_mean,0.0,no_attack_baseline,0.0,2.057925990107523
7817,geometric_median,0.0,no_attack_baseline,0.0,33.87288470623418
7817,krum,0.0,no_attack_baseline,0.0,25.92711277512969
7817,multi_krum,0.0,no_attack_baseline,0.0,1.3198824665126045
7817,sum,2.0,weakest,89.20112407161146,89.27004726479406
7817,median,2.0,weakest,12.514203619443903,10.919969842307992
7817,trimmed_mean,2.0,weakest,14.740589974538636,14.571795657411819
7817,geometric_median,2.0,weakest,83.76479193206708,83.89068682734822
7817,krum,2.0,weakest,27.859546700031583,47.184199240576426
7817,multi_krum,2.0,weakest,4.3676445315959835,4.341745529367963
7817,sum,5.0,weakest,84.34127875164847,84.2984012027171
7817,median,5.0,weakest,9.156859484407073,10.01281687587504
7817,trimmed_mean,5.0,weakest,9.644418110834776,9.341271525432893
7817,geometric_median,5.0,weakest,88.8421977863241,89.88089680998057
7817,krum,5.0,weakest,27.859546700031583,47.184199240576426
7817,multi_krum,5.0,weakest,4.3676445315959835,4.341745529367963
7817,sum,20.0,weakest,89.83476599035757,89.82766751198837
7817,median,20.0,weakest,6.265466694959288,10.74893880670991
7817,trimmed_mean,20.0,weakest,6.436461663288227,6.393511365320805
7817,geometric_median,20.0,weakest,89.1416338107024,88.47085594219799
7817,krum,20.0,weakest,27.859546700031583,47.184199240576426
7817,multi_krum,20.0,weakest,4.3676445315959835,4.341745529367963
7817,sum,20.0,random,84.32642102046935,84.52982439662448
7817,median,20.0,random,9.400991048593903,12.849081850208805
7817,trimmed_mean,20.0,random,73.69966424872462,73.68828128543942
7817,geometric_median,20.0,random,83.73480580746588,84.12253299066148
7817,krum,20.0,random,27.859546700031583,47.184199240576426
7817,multi_krum,20.0,random,4.3676445315959835,4.341745529367963
52731,sum,0.0,no_attack_baseline,0.0,0.7312332000555751
52731,median,0.0,no_attack_baseline,0.0,73.55030081991201
52731,trimmed_mean,0.0,no_attack_baseline,0.0,1.0724059684800558
52731,geometric_median,0.0,no_attack_baseline,0.0,11.500618791015947
52731,krum,0.0,no_attack_baseline,0.0,2.4148365394514667e-06
52731,multi_krum,0.0,no_attack_baseline,0.0,1.008236822393963
52731,sum,2.0,weakest,84.86127412554396,84.82581131492906
52731,median,2.0,weakest,22.805540064056597,79.37518962448613
52731,trimmed_mean,2.0,weakest,7.398779461126863,7.380871187996447
52731,geometric_median,2.0,weakest,89.71494413034735,89.84553867208622
52731,krum,2.0,weakest,48.15822663687974,48.15822663687974
52731,multi_krum,2.0,weakest,2.8198065481017904,2.9220548143603975
52731,sum,5.0,weakest,89.60602788051652,89.61429254844695
52731,median,5.0,weakest,23.779994414343644,81.21921923016392
52731,trimmed_mean,5.0,weakest,6.289976400162142,6.240904174439924
52731,geometric_median,5.0,weakest,84.37060856634636,85.34444608956586
52731,krum,5.0,weakest,48.15822663687974,48.15822663687974
52731,multi_krum,5.0,weakest,2.8198065481017904,2.9220548143603975
52731,sum,20.0,weakest,89.88007681299753,89.88040772027485
52731,median,20.0,weakest,24.52883096198701,81.66128724417307
52731,trimmed_mean,20.0,weakest,5.081897105873337,5.002926997423347
52731,geometric_median,20.0,weakest,83.86293019206808,83.01095908085478
52731,krum,20.0,weakest,48.15822663687974,48.15822663687974
52731,multi_krum,20.0,weakest,2.8198065481017904,2.9220548143603975
52731,sum,20.0,random,82.98769233566489,83.002104708019
52731,median,20.0,random,83.75063478894043,82.7675687830143
52731,trimmed_mean,20.0,random,82.82240453722171,82.74517085896916
52731,geometric_median,20.0,random,79.37752288941914,77.63808774200129
52731,krum,20.0,random,48.15822663687974,48.15822663687974
52731,multi_krum,20.0,random,2.8198065481017904,2.9220548143603975
51809,sum,0.0,no_attack_baseline,0.0,1.3646103176748319
51809,median,0.0,no_attack_baseline,0.0,5.699352525288261
51809,trimmed_mean,0.0,no_attack_baseline,0.0,2.5878998990095226
51809,geometric_median,0.0,no_attack_baseline,0.0,7.100945381279178
51809,krum,0.0,no_attack_baseline,0.0,2.4148365394514667e-06
51809,multi_krum,0.0,no_attack_baseline,0.0,1.8638227909540077
51809,sum,2.0,weakest,88.9796869149931,88.93662671659554
51809,median,2.0,weakest,15.356997205731146,12.499697877818525
51809,trimmed_mean,2.0,weakest,9.029511834082475,8.901292938066327
51809,geometric_median,2.0,weakest,76.11146761052885,75.83533956594704
51809,krum,2.0,weakest,43.94553533297695,43.94553533297695
51809,multi_krum,2.0,weakest,6.038741916302508,4.876376250174007
51809,sum,5.0,weakest,84.94375321711053,84.66891199036168
51809,median,5.0,weakest,14.210593595267882,12.000907299398532
51809,trimmed_mean,5.0,weakest,9.342909934556456,9.270965368243873
51809,geometric_median,5.0,weakest,69.49117859755101,68.45348790738925
51809,krum,5.0,weakest,43.94553533297695,43.94553533297695
51809,multi_krum,5.0,weakest,6.038741916302508,4.876376250174007
51809,sum,20.0,weakest,89.81616922227772,89.8159939706221
51809,median,20.0,weakest,13.477679600451207,11.552966171025691
51809,trimmed_mean,20.0,weakest,4.5742903786611615,4.0444112701027155
51809,geometric_median,20.0,weakest,56.79837352672984,54.53597367169053
51809,krum,20.0,weakest,43.94553533297695,43.94553533297695
51809,multi_krum,20.0,weakest,6.038741916302508,4.876376250174007
51809,sum,20.0,random,83.85665041593806,83.88617255177009
51809,median,20.0,random,61.49637469925553,62.65665144184773
51809,trimmed_mean,20.0,random,18.684058022435853,19.076829917740437
51809,geometric_median,20.0,random,74.14480447923492,77.34206850101076
51809,krum,20.0,random,43.94553533297695,43.94553533297695
51809,multi_krum,20.0,random,6.038741916302508,4.876376250174007
35457,sum,0.0,no_attack_baseline,0.0,0.7289859282386967
35457,median,0.0,no_attack_baseline,0.0,54.34674492438975
35457,trimmed_mean,0.0,no_attack_baseline,0.0,1.1209814930429807
35457,geometric_median,0.0,no_attack_baseline,0.0,33.88902836194966
35457,krum,0.0,no_attack_baseline,0.0,46.76181387158208
35457,multi_krum,0.0,no_attack_baseline,0.0,1.0694510274405802
35457,sum,2.0,weakest,87.30217067287755,87.29214635758538
35457,median,2.0,weakest,54.313526532286865,15.3116566667286
35457,trimmed_mean,2.0,weakest,12.33001521433688,12.24184400532616
35457,geometric_median,2.0,weakest,59.73091370425152,56.897135358075694
35457,krum,2.0,weakest,51.05914011389605,7.47657924856319
35457,multi_krum,2.0,weakest,5.461799326396946,5.353365233657018
35457,sum,5.0,weakest,89.04935458428021,89.03142803587109
35457,median,5.0,weakest,53.960216990523634,16.61178747834178
35457,trimmed_mean,5.0,weakest,10.72448598268626,10.596544927210134
35457,geometric_median,5.0,weakest,64.93230382234968,64.65972844190082
35457,krum,5.0,weakest,51.05914011389605,7.47657924856319
35457,multi_krum,5.0,weakest,5.461799326396946,5.353365233657018
35457,sum,20.0,weakest,88.78204134752593,88.68218167031773
35457,median,20.0,weakest,54.040223109268325,17.62693457191826
35457,trimmed_mean,20.0,weakest,4.497026448323322,4.272821158884019
35457,geometric_median,20.0,weakest,67.70638813770329,67.4338049389098
35457,krum,20.0,weakest,51.05914011389605,7.47657924856319
35457,multi_krum,20.0,weakest,5.461799326396946,5.353365233657018
35457,sum,20.0,random,82.38471593691847,82.35020438493365
35457,median,20.0,random,69.16387584356832,72.51923265275832
35457,trimmed_mean,20.0,random,13.691691343832506,14.217916306713867
35457,geometric_median,20.0,random,73.42993949178341,73.49075868161161
35457,krum,20.0,random,51.05914011389605,7.47657924856319
35457,multi_krum,20.0,random,5.461799326396946,5.353365233657018
47644,sum,0.0,no_attack_baseline,0.0,0.7924134593301178
47644,median,0.0,no_attack_baseline,0.0,7.872436225019204
47644,trimmed_mean,0.0,no_attack_baseline,0.0,1.081753168108547
47644,geometric_median,0.0,no_attack_baseline,0.0,6.401029712361959
47644,krum,0.0,no_attack_baseline,0.0,24.870886394983916
47644,multi_krum,0.0,no_attack_baseline,0.0,1.1082554190630842
47644,sum,2.0,weakest,89.57414482740022,89.66932836230772
47644,median,2.0,weakest,15.13780689047993,15.13292812829078
47644,trimmed_mean,2.0,weakest,12.99600182558759,12.942081309140416
47644,geometric_median,2.0,weakest,89.57771676743494,89.87895949950408
47644,krum,2.0,weakest,31.23443558094434,21.263913503843916
47644,multi_krum,2.0,weakest,3.6872240010917126,3.59704254965298
47644,sum,5.0,weakest,87.22395638266673,87.2194129593492
47644,median,5.0,weakest,10.874879723284444,15.016003274185763
47644,trimmed_mean,5.0,weakest,6.914521592078097,6.880207998167222
47644,geometric_median,5.0,weakest,81.93202457766606,84.3166894608187
47644,krum,5.0,weakest,31.23443558094434,21.263913503843916
47644,multi_krum,5.0,weakest,3.6872240010917126,3.59704254965298
47644,sum,20.0,weakest,89.98977646352505,89.98778308186368
47644,median,20.0,weakest,12.905390595619519,15.882743966713589
47644,trimmed_mean,20.0,weakest,4.764432602546237,4.754323562262164
47644,geometric_median,20.0,weakest,84.11563714479443,84.19036018944709
47644,krum,20.0,weakest,31.23443558094434,21.263913503843916
47644,multi_krum,20.0,weakest,3.6872240010917126,3.59704254965298
47644,sum,20.0,random,82.99404746575892,83.03863253609006
47644,median,20.0,random,11.68693170300115,14.198128050676457
47644,trimmed_mean,20.0,random,54.98892008303355,55.22280685065195
47644,geometric_median,20.0,random,80.55349328745184,82.74268801915998
47644,krum,20.0,random,31.23443558094434,21.263913503843916
47644,multi_krum,20.0,random,3.6872240010917126,3.59704254965298
