repeat,method,mode,amplitude,pi_s,selected_rank,mape,median,q25,q75,mape_user0,median_user0,mape_user1,median_user1,mape_user2,median_user2
0,clean,none,0.0,0.0,"[3, 3, 4]",0.07502886496537982,0.06775724367828406,0.03816621968323181,0.10135321329906183,0.06938341907618406,0.07192576772377374,0.08474558677892743,0.06483448008887627,0.07095758904102797,0.056713146809956386
0,baseline,hot_block,5.0,0.3,"[4, 4, 5]",0.06664029514930361,0.057157936245253976,0.02610737902332023,0.09419677262045197,0.0676732323291589,0.06710594989943386,0.04758994378890863,0.04151547672416549,0.08465770932984326,0.07273660674391995
0,baseline,hot_block,10.0,0.3,"[4, 4, 5]",0.07375815101042536,0.050840014874823786,0.03445677313313957,0.09478479857503898,0.06786702202260846,0.04257222243129399,0.06403603728388307,0.04920623019358446,0.08937139372478457,0.06846406557792363
0,baseline,stripe,5.0,0.3,"[4, 4, 5]",0.054048049925457316,0.04943156682989293,0.023669099709384668,0.07933467640684064,0.05411443826468008,0.050062549453658095,0.03631225974274164,0.029724957729611687,0.07171745176895022,0.05950808659442337
0,baseline,stripe,10.0,0.3,"[3, 3, 4]",0.07381819360084706,0.04951373121592338,0.02241589638614127,0.10973400359789777,0.06882459383115234,0.055314649313706526,0.08927263234149732,0.04307223505436617,0.06335735462989149,0.05898242388550676
1,clean,none,0.0,0.0,"[4, 4, 5]",0.0785056835107325,0.07168088783841828,0.04165754686076743,0.10544642911456037,0.08480870728534569,0.07267402801272266,0.07477421115402601,0.08600714577407835,0.0759341320928258,0.06683110487632764
1,baseline,hot_block,5.0,0.3,"[4, 4, 5]",0.05108926088510949,0.03982071271204231,0.014851501918986817,0.0691899633283224,0.06979019602589488,0.047746894317743704,0.0456385175081147,0.039031559289950335,0.03783906912131891,0.030760432865635904
1,baseline,hot_block,10.0,0.3,"[4, 4, 5]",0.06451845363359152,0.05956632180300955,0.0366061259384422,0.0841562792063701,0.06978409273340394,0.0689917476303213,0.05453262509911562,0.05100654987711756,0.06923864306825497,0.054438469229406955
1,baseline,stripe,5.0,0.3,"[3, 3, 4]",0.07002360009186565,0.05547999246766719,0.02539400211482489,0.08955514949917864,0.05802347520983656,0.03567121385057358,0.09662105500566928,0.07637290400855828,0.05542627006009113,0.0554888512764385
1,baseline,stripe,10.0,0.3,"[3, 3, 4]",0.055358268327550024,0.031995621595299326,0.01462753964201796,0.07890195064028534,0.05068419665105254,0.026185928452522662,0.06746460517811968,0.05215220157142832,0.04792600315347788,0.031995621595299326
2,clean,none,0.0,0.0,"[3, 3, 4]",0.06392584861809286,0.06157366265353106,0.03219315555912297,0.08652801831961693,0.05408764670036007,0.04564450288299405,0.06666766148802776,0.06389656205269395,0.07102223766589078,0.06523738798538514
2,baseline,hot_block,5.0,0.3,"[3, 3, 4]",0.061308623008710025,0.05100605428524495,0.018644874292974567,0.08857320886337121,0.04391873834794739,0.03069792666617111,0.05670469396527953,0.043112479286855326,0.08330243671290316,0.07269808316566095
2,baseline,hot_block,10.0,0.3,"[3, 3, 4]",0.052423052435378925,0.03317412496647521,0.018730762277512383,0.07706329355823859,0.05944254126185115,0.030258128986133857,0.056066268931030026,0.04955565242303085,0.04176034711325558,0.028107662932152437
2,baseline,stripe,5.0,0.3,"[3, 3, 4]",0.058268517468506295,0.05215782009647911,0.017138393706980788,0.08527859482477881,0.06881837332664176,0.05528671069604955,0.055836369504408866,0.06671653732053251,0.050150809574468304,0.03801003050489604
2,baseline,stripe,10.0,0.3,"[3, 3, 4]",0.061112176834287935,0.055379380146857705,0.03367892197501329,0.07676333397567628,0.05713915985319247,0.04831452898772745,0.06961041436239693,0.060308858640517014,0.05658695628727439,0.054443624045910584
3,clean,none,0.0,0.0,"[4, 4, 5]",0.03420237990538539,0.02512561353002114,0.014305601225389628,0.04642421585127298,0.03512893322709202,0.027672263172657984,0.03399212204744782,0.02512561353002114,0.0334860844416163,0.019057201358764653
3,baseline,hot_block,5.0,0.3,"[4, 4, 5]",0.058441537866819715,0.04403180371319711,0.022886406531691123,0.08832537066572906,0.06287415124276627,0.05318477646678542,0.06173132139519614,0.054988182008746486,0.05071914096249676,0.039289872449920396
3,baseline,hot_block,10.0,0.3,"[3, 3, 4]",0.06212517968994767,0.05767898982740467,0.021121331657754795,0.08575438510101857,0.06438008589853446,0.05422779721587147,0.054948183443290145,0.057734513076311375,0.06704726972801839,0.06779070019340938
3,baseline,stripe,5.0,0.3,"[3, 3, 4]",0.047535338794001895,0.03322243110381093,0.015584119343659707,0.07787341275572525,0.06973247657294036,0.06404472382646897,0.034716986932468615,0.027270130521378833,0.03815655287659676,0.037017840582634354
3,baseline,stripe,10.0,0.3,"[4, 4, 5]",0.058663165310386886,0.054562112791314614,0.02817510197246266,0.08278906211920334,0.04982288383914251,0.04197265238098983,0.06366764648454609,0.05998767477150396,0.06249896560747211,0.05207647159914574
4,clean,none,0.0,0.0,"[3, 3, 4]",0.0729197749380806,0.06117364001523301,0.030617964246401546,0.10006612439662416,0.07880295955077488,0.059980863714594775,0.07162727913182047,0.06761264166920535,0.06832908613164647,0.045618299653932846
4,baseline,hot_block,5.0,0.3,"[2, 2, 3]",0.06504921002934694,0.05654136272557242,0.030875331661352402,0.09669141169869531,0.04132161078210249,0.027496534648419495,0.07422062121880481,0.0615268633055918,0.07960539808713352,0.08247382683335822
4,baseline,hot_block,10.0,0.3,"[3, 3, 4]",0.04923562531433901,0.04178428501165936,0.027351914755704254,0.06562012618491972,0.046825869478402726,0.04178428501165936,0.05800443072120761,0.05332983960416678,0.04287657574340671,0.03608006183348242
4,baseline,stripe,5.0,0.3,"[3, 3, 4]",0.05883568757091919,0.05593331543002837,0.02304505021599868,0.090162080891815,0.05173126139595149,0.05723002237647948,0.05841290068200837,0.05435000309199714,0.06636290063479772,0.07119046292772561
4,baseline,stripe,10.0,0.3,"[3, 3, 4]",0.053041287566832254,0.04403944782807439,0.023015558622653188,0.0767428995000057,0.051239933874982005,0.03742834925105628,0.06766945431672378,0.06970344347381946,0.04021447450879098,0.034588430731175054
