repeat,method,mode,amplitude,pi_s,selected_rank,mape,median,q25,q75,mape_user0,median_user0,mape_user1,median_user1,mape_user2,median_user2
0,clean,none,0.0,0.0,"[3, 3, 4]",0.07502886496537982,0.06775724367828406,0.03816621968323181,0.10135321329906183,0.06938341907618406,0.07192576772377374,0.08474558677892743,0.06483448008887627,0.07095758904102797,0.056713146809956386
0,baseline,hot_block,10.0,0.6,"[4, 4, 5]",0.059912887291136724,0.0535536140857677,0.02278245725878386,0.08893569429846472,0.06350706613853896,0.05784497636107741,0.05662014706522787,0.042427155411289726,0.05961144866964333,0.03585165787917184
0,baseline,hot_block,10.0,1.0,"[3, 3, 4]",0.10880777137894186,0.07710625841800112,0.04700203817979012,0.1656244612141197,0.10412381878462065,0.09098571390505314,0.10553067381179182,0.07099129355828968,0.11676882154041315,0.06955599711585436
0,baseline,stripe,10.0,0.6,"[3, 3, 4]",0.061564593295415394,0.0474554987775732,0.02411935733570958,0.08192062316145723,0.04553917431601751,0.03380075243075527,0.077971229215136,0.06016125780141945,0.06118337635509267,0.05873571342392134
0,baseline,stripe,10.0,1.0,"[2, 2, 3]",0.0883225000034893,0.06628402555001064,0.029226843684949433,0.12188187463855718,0.09261564969255356,0.06513574966936034,0.08419554719034344,0.06963140780696739,0.08815630312757097,0.06796181625071215
1,clean,none,0.0,0.0,"[4, 4, 5]",0.0785056835107325,0.07168088783841828,0.04165754686076743,0.10544642911456037,0.08480870728534569,0.07267402801272266,0.07477421115402601,0.08600714577407835,0.0759341320928258,0.06683110487632764
1,baseline,hot_block,10.0,0.6,"[3, 3, 4]",0.07815010932783709,0.061681087259256126,0.03170683445226559,0.10984579862111797,0.04892582758958745,0.038962958463415465,0.09427719079276106,0.0851295635595207,0.09124730960116274,0.07248712377914134
1,baseline,hot_block,10.0,1.0,"[2, 2, 3]",0.10962910696112761,0.09774459278221759,0.05047584491190968,0.16104469354786735,0.06790833377206903,0.05553205208228319,0.16049958099260672,0.16491795169651124,0.10047940611870705,0.09365598581475976
1,baseline,stripe,10.0,0.6,"[3, 3, 4]",0.0865139275379632,0.07039558487512125,0.037911486173673785,0.1259910381391225,0.06818849403561186,0.07039558487512125,0.10563042930284076,0.10359570833399356,0.08572285927543702,0.0622731088820018
1,baseline,stripe,10.0,1.0,"[3, 3, 4]",0.0751938482700705,0.06072695347458519,0.028671117007700427,0.11064044172354084,0.051907822755969134,0.0302597031544298,0.07392679596494808,0.06072695347458519,0.09974692608929427,0.09761994171638272
2,clean,none,0.0,0.0,"[3, 3, 4]",0.06392584861809286,0.06157366265353106,0.03219315555912297,0.08652801831961693,0.05408764670036007,0.04564450288299405,0.06666766148802776,0.06389656205269395,0.07102223766589078,0.06523738798538514
2,baseline,hot_block,10.0,0.6,"[2, 2, 3]",0.0669087370201515,0.05038143721452665,0.03161306656599994,0.07578826437140936,0.059763217870035856,0.04637129972334407,0.08351621979288869,0.06047206286123582,0.05744677339752996,0.048050979362954986
2,baseline,hot_block,10.0,1.0,"[3, 3, 4]",0.06004507922212653,0.05621878715951488,0.03192636467697496,0.0789861733003404,0.05859562722781435,0.05488193593401512,0.05343893573139463,0.04847962729910284,0.06810067470717059,0.06997578517332043
2,baseline,stripe,10.0,0.6,"[3, 3, 4]",0.055734620257353935,0.04144033906770235,0.02001579975288809,0.07626536131069199,0.041454808881669754,0.03239925733383395,0.049745851732667705,0.04144033906770235,0.0760032001577243,0.0704792345690946
2,baseline,stripe,10.0,1.0,"[3, 3, 4]",0.07711105976240444,0.0775238456721766,0.03659643169429366,0.1035238824262805,0.07976143929268281,0.08077932438199525,0.08848588748099015,0.0869570998551295,0.06308585251354033,0.05844134253324784
3,clean,none,0.0,0.0,"[4, 4, 5]",0.03420237990538539,0.02512561353002114,0.014305601225389628,0.04642421585127298,0.03512893322709202,0.027672263172657984,0.03399212204744782,0.02512561353002114,0.0334860844416163,0.019057201358764653
3,baseline,hot_block,10.0,0.6,"[2, 2, 3]",0.07398593403283353,0.054213739027906244,0.035464589026708584,0.09797721906583937,0.08871668135360695,0.057827125151942944,0.07899485552060226,0.07940134413604982,0.05424626522429139,0.04601245434807463
