repeat,method,mode,amplitude,pi_s,block,limit_user0,far_user0,power_user0,auc_user0,det_ttf_user0,limit_user1,far_user1,power_user1,auc_user1,det_ttf_user1,limit_user2,far_user2,power_user2,auc_user2,det_ttf_user2,precision,recall
0,clean,none,0.0,0.0,0,60.856674431387205,0.42857142857142855,0.8636363636363636,0.8506493506493507,32.0,86.94328759943302,0.42857142857142855,1.0,0.96,35.0,124.27922841020337,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,baseline,hot_block,10.0,0.3,9,68.63656443476407,0.2857142857142857,0.6818181818181818,0.8246753246753247,31.0,86.9476483283012,0.42857142857142855,1.0,0.96,35.0,124.27922633059723,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,rftl_s,hot_block,10.0,0.3,9,2130.744340497429,0.0,0.0,0.6753246753246753,,274.6457376030451,0.0,0.44,0.8285714285714285,24.0,385.6006502303723,0.0,0.18518518518518517,0.6666666666666666,19.0,0.0,0.0
0,baseline,hot_block,10.0,0.6,9,58.41338525380122,0.5714285714285714,0.8636363636363636,0.7922077922077922,32.0,86.94328759940437,0.42857142857142855,1.0,0.96,35.0,124.27922841020192,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,rftl_s,hot_block,10.0,0.6,9,39.496418960233974,1.0,1.0,0.8506493506493507,32.0,85.09307491555786,0.42857142857142855,1.0,0.9485714285714286,35.0,119.88883894247672,0.625,0.9629629629629629,0.875,36.0,0.16666666666666666,0.6
0,baseline,hot_block,10.0,0.3,5,63.154852011696164,0.42857142857142855,0.8181818181818182,0.8116883116883117,31.0,86.94328759943114,0.42857142857142855,1.0,0.96,35.0,124.2792284102045,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,rftl_s,hot_block,10.0,0.3,5,62.03798083315975,0.42857142857142855,0.8636363636363636,0.8181818181818182,32.0,85.0955487799185,0.42857142857142855,1.0,0.9485714285714286,35.0,120.01285916819134,0.625,0.9629629629629629,0.8796296296296297,36.0,0.030303030303030304,0.2
0,baseline,hot_block,10.0,0.6,5,57.70283274447709,0.7142857142857143,0.9090909090909091,0.8246753246753247,32.0,86.94328759944226,0.42857142857142855,1.0,0.96,35.0,124.2792284101879,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,rftl_s,hot_block,10.0,0.6,5,56.14080404223569,0.7142857142857143,0.9090909090909091,0.8116883116883117,32.0,85.0950534189127,0.42857142857142855,1.0,0.9485714285714286,35.0,120.0128591357934,0.625,0.9629629629629629,0.8796296296296297,36.0,0.06666666666666667,0.2
1,clean,none,0.0,0.0,0,58.02220142007043,0.7142857142857143,1.0,0.8246753246753247,32.0,91.24381246307289,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37676884066144,0.375,0.9259259259259259,0.9351851851851851,28.0,,
1,baseline,hot_block,10.0,0.3,9,70.40274982481597,0.14285714285714285,0.5909090909090909,0.7792207792207793,30.0,91.24381246304843,0.42857142857142855,0.88,0.8914285714285713,32.0,129.3767688406702,0.375,0.9259259259259259,0.9351851851851851,28.0,,
1,rftl_s,hot_block,10.0,0.3,9,69.60016496621097,0.14285714285714285,0.6363636363636364,0.7857142857142857,30.0,94.74491133508133,0.2857142857142857,0.84,0.8742857142857142,32.0,123.95778247230109,0.5,1.0,0.9583333333333333,28.0,0.0,0.0
1,baseline,hot_block,10.0,0.6,9,2317.8826825258643,0.0,0.0,0.7142857142857142,,277.3751604548711,0.0,0.32,0.7485714285714287,23.0,347.2614585747107,0.0,0.5555555555555556,0.9259259259259259,28.0,,
1,rftl_s,hot_block,10.0,0.6,9,54.440240500319895,0.8571428571428571,1.0,0.8246753246753247,32.0,89.25948265402137,0.42857142857142855,0.96,0.9142857142857143,32.0,124.17213558243547,0.5,1.0,0.9583333333333333,28.0,0.3225806451612903,1.0
1,baseline,hot_block,10.0,0.3,5,56.05812107380507,0.7142857142857143,1.0,0.7987012987012987,32.0,91.24381246308704,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37676884064408,0.375,0.9259259259259259,0.9351851851851851,28.0,,
