method,noise_mult,pi_s,huber_k,repeat,value
clean,0,0.0,,0,0.07985404605884919
clean,0,0.0,,1,0.07850568351073271
clean,0,0.0,,2,0.06929586874434054
clean,0,0.0,,3,0.03420237990538751
clean,0,0.0,,4,0.07219700027290685
clean,0,0.0,,5,0.10778181213630209
clean,0,0.0,,6,0.06611024258962064
clean,0,0.0,,7,0.08029971290969261
clean,0,0.0,,8,0.05390952558176247
clean,0,0.0,,9,0.06757369589047381
clean,0,0.0,,10,0.0614971471699323
clean,0,0.0,,11,0.0660189421339757
clean,0,0.0,,12,0.044180677614942994
clean,0,0.0,,13,0.05526559251382401
clean,0,0.0,,14,0.05015226720140574
clean,0,0.0,,15,0.09169397674458189
clean,0,0.0,,16,0.045851242947569544
clean,0,0.0,,17,0.058755997279682844
clean,0,0.0,,18,0.1027780754669658
clean,0,0.0,,19,0.08698853827572597
clean,0,0.0,,20,0.08298719067832996
clean,0,0.0,,21,0.07773688155262536
clean,0,0.0,,22,0.07218327141950295
clean,0,0.0,,23,0.05835403721498933
clean,0,0.0,,24,0.05235341268080194
clean,0,0.0,,25,0.05784580371584282
clean,0,0.0,,26,0.055956201845165685
clean,0,0.0,,27,0.07536458026637803
clean,0,0.0,,28,0.08611806000058563
clean,0,0.0,,29,0.051099474957450756
clean,0,0.0,,30,0.08465016104896933
clean,0,0.0,,31,0.04932850067053223
clean,0,0.0,,32,0.09915562432662492
clean,0,0.0,,33,0.05190620105715807
clean,0,0.0,,34,0.09225945530476153
clean,0,0.0,,35,0.08143577017244129
clean,0,0.0,,36,0.037225069817871534
clean,0,0.0,,37,0.08299874675818932
clean,0,0.0,,38,0.08313745904829091
clean,0,0.0,,39,0.06427169660900973
clean,0,0.0,,40,0.06802521104651534
clean,0,0.0,,41,0.08141912928765323
clean,0,0.0,,42,0.0668575859287103
clean,0,0.0,,43,0.0712095479854753
clean,0,0.0,,44,0.07061124809284751
clean,0,0.0,,45,0.05212829742629491
clean,0,0.0,,46,0.08191462705621916
clean,0,0.0,,47,0.06498752060963368
clean,0,0.0,,48,0.05593221738415847
clean,0,0.0,,49,0.0608318250770354
baseline,2,0.05,,0,0.05339079986181341
baseline,2,0.05,,1,0.05731784445706703
baseline,2,0.05,,2,0.06734424122898015
baseline,2,0.05,,3,0.06101102710179483
baseline,2,0.05,,4,0.06261921223503693
baseline,2,0.05,,5,0.07670594418764783
baseline,2,0.05,,6,0.058792522864129136
baseline,2,0.05,,7,0.047092655134812325
baseline,2,0.05,,8,0.06873771560907525
baseline,2,0.05,,9,0.04336531071355434
baseline,2,0.05,,10,0.0782444925437729
baseline,2,0.05,,11,0.07347386472149545
baseline,2,0.05,,12,0.07002777870339479
baseline,2,0.05,,13,0.06552932778109272
baseline,2,0.05,,14,0.08588885723725276
