method,mode,pi_s,huber_k,repeat,selected_rank,mape,median,q25,q75,mape_user0,median_user0,mape_user1,median_user1,mape_user2,median_user2,value
clean,none,0.0,,0,"[4, 4, 5]",0.07985404605884919,0.07976881838723256,0.02494272841210291,0.11271582263042326,0.08485933515021897,0.06064897391610666,0.05799714955352146,0.040147359293961446,0.09670565347280709,0.0936412512699384,
clean,none,0.0,,1,"[4, 4, 5]",0.07850568351073271,0.0716808878383338,0.04165754686074075,0.1054464291145743,0.08480870728534048,0.07267402801276282,0.07477421115401198,0.08600714577402874,0.07593413209284568,0.06683110487639357,
clean,none,0.0,,2,"[4, 4, 5]",0.06929586874434054,0.055000504408544024,0.027556931644046434,0.08684833635524328,0.09719026524755861,0.055423603021276455,0.04575722797703412,0.03823046166282022,0.06494011300842889,0.057778837089759026,
clean,none,0.0,,3,"[4, 4, 5]",0.03420237990538751,0.025125613530033945,0.014305601225383793,0.04642421585125699,0.03512893322709042,0.02767226317267045,0.03399212204746173,0.025125613530033945,0.033486084441610386,0.019057201358732397,
clean,none,0.0,,4,"[3, 3, 4]",0.07219700027290685,0.06781710340747442,0.025757771271740122,0.10352519085016688,0.07917132713488853,0.06678589912968626,0.07173308806977349,0.08372696123134987,0.06568658561405848,0.05848187493406558,
clean,none,0.0,,5,"[3, 3, 4]",0.10778181213630209,0.08899664512279906,0.047711536729957774,0.17014681552345978,0.13695232547596795,0.11848546224013848,0.08492179766169045,0.08430158326569692,0.10147131327124784,0.06341464537905528,
clean,none,0.0,,6,"[3, 3, 4]",0.06611024258962064,0.05273864850937231,0.030241309365311116,0.0900961711747832,0.06992529023836244,0.06565364511384239,0.05920018404961375,0.04961558178678871,0.06920525348088578,0.05811072983943141,
clean,none,0.0,,7,"[3, 3, 4]",0.08029971290969261,0.0655657499060666,0.02607184021216803,0.1262348869315088,0.09927311843575051,0.08098907139579148,0.08215623951273902,0.08116374135284236,0.05946978078058831,0.03245733366490146,
clean,none,0.0,,8,"[4, 4, 5]",0.05390952558176247,0.04062514875662943,0.018713652442558286,0.07841266242689152,0.0695758939282299,0.054479253463828446,0.04539524535921033,0.03057601062182695,0.0467574374578472,0.03188855474095387,
clean,none,0.0,,9,"[3, 3, 4]",0.06757369589047381,0.05321279579795575,0.019615844170966103,0.0940608474375106,0.1276720091840679,0.12461874230523826,0.03354968952042385,0.03712646432113857,0.041499388966929625,0.034083227800355956,
clean,none,0.0,,10,"[3, 3, 4]",0.0614971471699323,0.05340865944702444,0.027862968531283432,0.08275827806624197,0.06931990238068116,0.05881218169654773,0.06259813538386358,0.04944738847405536,0.05257340374525217,0.048092286614883156,
clean,none,0.0,,11,"[2, 2, 3]",0.0660189421339757,0.053314038462497784,0.0291237676321372,0.0838774708400791,0.06423832076638798,0.049949841549062915,0.061573766194139935,0.053314038462497784,0.07224473944139921,0.05216337388665969,
clean,none,0.0,,12,"[3, 3, 4]",0.044180677614942994,0.03484158828245397,0.016783114942931894,0.06403005174778473,0.05249095531228222,0.05736346585656869,0.05032784832346734,0.041621034025554435,0.02972322920907943,0.027739272344727756,
clean,none,0.0,,13,"[3, 3, 4]",0.05526559251382401,0.04846242389645966,0.02022071077695263,0.07888185275434179,0.04122152063401721,0.027729885367119088,0.05832888588743288,0.05650963271302613,0.06624637102002194,0.05057572059869078,
clean,none,0.0,,14,"[4, 4, 5]",0.05015226720140574,0.04271393929554007,0.022721821850012244,0.06491919308821588,0.06217744507131506,0.049964698599239854,0.04963253367494055,0.04059215989391317,0.038646822857961574,0.03767309842595484,
clean,none,0.0,,15,"[3, 3, 4]",0.09169397674458189,0.07897351163853816,0.04034185384887608,0.13922337872444845,0.10198542256526069,0.09173880101458645,0.09158079934992064,0.07246095129851689,0.08151570831856439,0.05293279704995811,
clean,none,0.0,,16,"[3, 3, 4]",0.045851242947569544,0.035390244197540215,0.019150462776135024,0.06282633316898217,0.03967587974230248,0.034335557795563826,0.05228842452055012,0.03385999461120841,0.04558942457985602,0.042732670480542786,
clean,none,0.0,,17,"[3, 3, 4]",0.058755997279682844,0.04632258468887207,0.020224969868657603,0.08163153675723317,0.059566077215882605,0.052565702554427274,0.04300181837869082,0.03910537214909983,0.07370009624447509,0.046595840252941216,
clean,none,0.0,,18,"[3, 3, 4]",0.1027780754669658,0.07282293497954696,0.028686875336268347,0.1624846678517779,0.13305050336737828,0.09537295622867692,0.09300920783226355,0.059156532889700644,0.0822745152012556,0.06358964761003259,
clean,none,0.0,,19,"[3, 3, 4]",0.08698853827572597,0.06302450667105908,0.029070673060845993,0.10726964821278345,0.058153036047855114,0.06026384969726595,0.06963175773597284,0.051097805813128595,0.13318082104334994,0.10053272346666461,
clean,none,0.0,,20,"[3, 3, 4]",0.08298719067832996,0.06209813712933229,0.03499379849166875,0.11623040804788891,0.08836560022078749,0.05391512440126791,0.08266833822911743,0.07547139486371143,0.07792763358508498,0.05687403081531414,
clean,none,0.0,,21,"[3, 3, 4]",0.07773688155262536,0.06353269681051103,0.0335699636859217,0.11132445810715264,0.08811451918043631,0.07394957698813923,0.05930473307087306,0.0528628135010336,0.08579139240656666,0.05954432833557287,
clean,none,0.0,,22,"[3, 3, 4]",0.07218327141950295,0.05531397480320997,0.028158774199359315,0.08212587776007119,0.08808750455795307,0.07053658733050058,0.06609057473173315,0.04541787528925781,0.06237173496882263,0.05410803999157125,
